,uid,anime_uid,score
1294,200039,28999,7
1295,237549,28999,6
1296,242033,28999,9
1297,243892,28999,5
1298,245673,28999,10
1299,245695,28999,9
1300,243635,28999,6
1301,243756,28999,10
1302,282490,28999,7
1303,205794,28999,6
1304,199997,28999,6
1305,227878,28999,6
1306,211470,28999,6
1307,247246,28999,8
1308,247477,28999,10
1309,258567,28999,8
1310,258854,28999,10
1311,263779,28999,8
1312,264739,28999,8
1313,266944,28999,10
1314,272058,28999,6
1315,276819,28999,10
1316,199908,28999,5
1317,199876,28999,6
1318,199746,28999,9
1319,233622,28999,9
1320,208220,28999,5
1321,199706,28999,6
1322,234107,28999,9
1323,200014,28999,6
1324,199739,28999,7
1325,200200,28999,7
1326,278515,28999,8
1327,283202,28999,9
1328,283610,28999,8
1329,242734,28999,10
1330,242996,28999,4
1331,243707,28999,1
1332,244358,28999,7
1333,292667,28999,5
1334,293420,28999,8
1335,307205,28999,2
1336,252657,28999,9
1337,307986,28999,10
1338,309361,28999,8
1339,310528,28999,1
1340,310789,28999,8
1341,311473,28999,4
1342,255560,28999,8
1343,313099,28999,6
1344,313429,28999,6
1345,313621,28999,4
1346,199698,28999,6
1347,224101,28999,8
1348,223655,28999,10
1349,200938,28999,9
1350,214278,28999,10
1351,210991,28999,8
1352,212583,28999,9
1353,221301,28999,9
1354,203735,28999,7
1355,231906,28999,8
1356,206025,28999,7
1357,206508,28999,6
1358,207778,28999,7
1359,208099,28999,6
1360,221621,28999,8
1361,227440,28999,8
1362,199999,28999,9
1363,232441,28999,10
1364,236407,28999,8
1365,199777,28999,8
1366,256766,28999,6
1367,316826,28999,7
1368,257613,28999,7
1369,239265,28999,8
1370,320107,28999,6
1371,321312,28999,7
1372,322311,28999,4
1373,240206,28999,6
1374,240260,28999,5
1375,324355,28999,8
1376,325416,28999,5
1377,265576,28999,9
1378,266412,28999,10
1379,266752,28999,10
1380,207738,28999,4
1381,207766,28999,10
1382,207071,28999,8
1383,226810,28999,9
1384,226930,28999,8
1385,226469,28999,9
1386,230454,28999,10
1387,227914,28999,8
1388,206097,28999,8
1389,233658,28999,8
